PLAYER,TEAM,ACS,ADR,K/D,K,D,A,RP,KPR,ESR,HS%,FBPR,DPR,1vX,MK,FB,FD,ECON,PL,DE,UMG_Event
psalm,Dignitas,213,135.2,1.0,129,129,61,185,0.7,0.53,0.28,0.1,0.7,1,33,19,17,56.3,5,2,True
FIEND,Moon Raccoons,213,129.4,0.94,116,124,25,162,0.72,0.57,0.17,0.19,0.77,2,28,31,23,58.4,5,4,True
hazed,TSM,212,130.6,1.16,221,190,58,288,0.77,0.48,0.26,0.09,0.66,4,52,26,28,56.5,15,4,True
mAKKA,Dignitas,212,132.1,1.1,134,122,73,185,0.72,0.58,0.23,0.06,0.66,4,31,11,8,52.8,13,6,True
Relyks,Cloud9 Blue,211,140.5,0.93,140,150,49,202,0.69,0.42,0.18,0.08,0.74,2,34,16,22,54.1,5,3,True
Subroza,TSM,210,137.3,0.98,201,206,59,288,0.7,0.45,0.22,0.13,0.72,4,51,37,46,52.8,7,4,True
dephh,Dignitas,210,143.8,1.06,134,127,32,185,0.72,0.67,0.21,0.17,0.69,1,31,31,15,55.3,10,5,True
eeiu,NRG Esports,210,143.0,0.98,105,107,50,150,0.7,0.65,0.26,0.07,0.71,1,25,11,6,55.7,3,4,True
KOLER,NRG Esports,209,132.3,0.85,106,124,23,150,0.71,0.48,0.32,0.17,0.83,1,29,25,27,49.9,2,1,True
ohai,Complexity,206,134.7,1.04,83,80,19,114,0.73,0.5,0.17,0.14,0.7,3,20,16,16,56.8,7,0,True
Ksiaze,Luminosity Gaming,203,132.3,1.05,99,94,17,136,0.73,0.49,0.29,0.15,0.69,1,26,20,21,51.5,0,4,True
DXN,Equinox Esports,201,119.8,0.91,63,69,22,93,0.68,0.88,0.21,0.08,0.74,2,16,7,1,53.5,8,1,True
s0m,NRG Esports,200,127.6,0.92,97,106,31,150,0.65,0.41,0.25,0.12,0.71,0,24,18,26,52.0,11,3,True
oderus,Dignitas,199,125.9,0.91,128,141,38,185,0.69,0.42,0.18,0.14,0.76,2,36,25,34,46.8,8,0,True
Turnup,ex-Serenity,196,123.5,0.89,100,113,60,158,0.63,0.69,0.24,0.06,0.72,3,24,9,4,50.4,17,9,True
sharky,Complexity,195,128.5,0.84,72,86,29,114,0.63,0.39,0.19,0.11,0.75,0,17,12,19,52.6,3,1,True
neptune,Immortals,195,116.3,0.98,186,190,70,271,0.69,0.53,0.3,0.09,0.7,2,47,24,21,41.4,1,2,True
ALEKSANDAR,Moon Raccoons,195,121.5,1.03,114,111,52,162,0.7,0.61,0.39,0.07,0.69,4,27,11,7,48.0,8,3,True
jmoh,Immortals,193,112.4,1.02,181,178,40,271,0.67,0.47,0.16,0.1,0.66,5,41,28,31,52.4,9,4,True
mina,Equinox Esports,191,123.8,0.84,58,69,17,93,0.62,0.39,0.27,0.13,0.74,0,16,12,19,49.0,2,3,True
daps,NRG Esports,191,139.7,0.99,104,105,29,150,0.69,0.33,0.23,0.06,0.7,2,28,9,18,52.7,4,1,True
dsr,Pittsburgh Knights,191,130.5,0.82,51,62,23,81,0.63,0.35,0.33,0.07,0.77,0,11,6,11,52.5,8,1,True
Showtime,ex-Serenity,189,110.6,0.93,109,117,19,158,0.69,0.45,0.17,0.14,0.74,2,23,22,27,42.7,2,1,True
insky,Spacestation Gaming,188,117.0,0.91,107,117,24,165,0.65,0.57,0.34,0.1,0.71,3,29,17,13,49.6,14,2,True
mitch,Cloud9 Blue,188,118.6,0.91,124,137,54,202,0.61,0.52,0.17,0.13,0.68,5,27,27,25,47.1,17,3,True
DaZeD,T1,187,137.3,0.97,147,152,80,234,0.63,0.33,0.22,0.03,0.65,10,33,8,16,55.1,13,3,True
AZK,T1,186,119.5,0.95,155,164,65,234,0.66,0.41,0.22,0.06,0.7,3,31,15,22,45.1,27,1,True
XP3,Complexity,186,129.9,0.86,72,84,26,114,0.63,0.5,0.15,0.07,0.74,1,11,8,8,52.6,15,1,True
seb,Andbox,185,101.0,0.81,56,69,19,96,0.58,0.41,0.28,0.07,0.72,2,16,7,10,39.5,4,0,True
MkaeL,Gen.G Esports,184,124.5,1.0,88,88,53,146,0.6,0.5,0.2,0.05,0.6,3,22,8,8,52.0,18,9,True
vice,Cloud9 Blue,181,129.0,1.04,131,126,62,202,0.65,0.41,0.2,0.04,0.62,5,32,9,13,52.0,13,6,True
Rawkus,FaZe Clan,181,117.7,0.98,193,196,103,315,0.61,0.59,0.25,0.05,0.62,8,44,16,11,54.3,47,6,True
