,PLAYER,TEAM,ACS,ADR,K/D,K,D,A,RP,KPR,ESR,HS%,FBPR,DPR,1vX,MK,FB,FD,ECON,PL,DE,UMG_Event
16,Skadoodle,T1,225,130.3,1.1,152,138,47,209,0.73,0.65,0.14,0.19,0.66,5,33,40,22,56.4,17,6,
17,crashies,Envy,224,150.1,1.38,234,169,119,294,0.8,0.7,0.27,0.09,0.57,8,58,26,11,62.4,17,7,
18,Paincakes,Equinox Esports,224,142.2,0.99,85,86,37,115,0.74,0.67,0.25,0.09,0.75,2,23,10,5,55.2,5,0,
19,Wardell,TSM,222,139.8,1.15,113,98,17,149,0.76,0.62,0.2,0.17,0.66,1,29,26,16,63.7,8,1,
20,aproto,Luminosity Gaming,220,136.8,1.02,130,127,43,172,0.76,0.67,0.47,0.1,0.74,1,33,18,9,51.4,7,2,
21,huynh,Gen.G Esports,219,143.1,1.18,129,109,22,160,0.81,0.6,0.21,0.19,0.68,7,34,31,21,55.0,1,4,
22,Shawn,Gen.G Esports,219,136.7,1.02,119,117,27,160,0.74,0.49,0.24,0.14,0.73,2,27,23,24,54.7,4,2,
23,dev,The Slimy Boogermen,216,144.7,1.12,114,102,46,150,0.76,0.75,0.21,0.1,0.68,3,25,15,5,57.1,14,1,
24,drone,TSM,215,140.2,1.26,116,92,53,149,0.78,0.65,0.31,0.09,0.62,1,28,13,7,58.7,17,4,
25,dephh,Dignitas,215,145.0,0.91,122,134,38,176,0.69,0.47,0.16,0.14,0.76,1,25,25,28,51.6,7,4,
26,dicey,100 Thieves,212,131.4,1.07,244,229,57,326,0.75,0.58,0.19,0.14,0.7,3,60,47,34,51.6,12,2,
27,Bjor,Built By Gamers,210,134.7,0.98,79,81,18,109,0.72,0.29,0.16,0.06,0.74,1,19,6,15,53.0,6,0,
28,Welshy,The Slimy Boogermen,209,129.7,0.88,101,115,37,150,0.67,0.54,0.15,0.14,0.77,1,20,21,18,47.9,5,3,
29,mitch,Cloud9 Blue,207,139.5,1.11,107,96,33,151,0.71,0.55,0.12,0.12,0.64,0,27,18,15,56.3,8,6,
30,AYRIN,XSET,207,125.1,0.87,75,86,19,110,0.68,0.41,0.13,0.08,0.78,0,20,9,13,47.2,0,1,
31,Andersin,The Slimy Boogermen,204,127.2,1.05,113,108,38,150,0.75,0.51,0.23,0.13,0.72,2,27,20,19,53.9,7,6,
32,steel,100 Thieves,202,139.8,0.93,216,232,81,326,0.66,0.46,0.15,0.07,0.71,5,51,24,28,55.0,16,5,
33,AZK,T1,202,136.9,1.1,158,144,80,209,0.76,0.62,0.18,0.09,0.69,1,40,18,11,50.3,22,2,
34,Tucker,Spot Up,201,137.4,0.85,64,75,26,97,0.66,0.53,0.13,0.08,0.77,0,17,8,7,53.6,8,4,
35,mada,Luminosity Gaming,196,138.7,0.94,117,125,48,172,0.68,0.51,0.31,0.11,0.73,2,27,19,18,52.6,11,3,
36,ohai,Complexity,196,118.6,0.93,88,95,22,129,0.68,0.44,0.24,0.12,0.74,0,20,16,20,48.8,3,0,
37,Kanpeki,Spot Up,195,118.3,0.84,68,81,13,97,0.7,0.46,0.21,0.16,0.84,0,19,16,19,47.0,1,0,
38,ShahZaM,Sentinels,194,123.9,0.94,152,161,59,234,0.65,0.46,0.21,0.09,0.69,7,36,22,26,49.6,11,5,
39,mina,Equinox Esports,194,130.0,0.8,78,98,18,115,0.68,0.42,0.2,0.17,0.85,1,18,19,26,47.4,2,1,
40,PureR,XSET,192,122.5,0.91,79,87,11,110,0.72,0.61,0.26,0.21,0.79,2,18,23,15,44.0,6,1,
41,Hiko,100 Thieves,192,126.9,1.24,217,175,129,326,0.67,0.53,0.24,0.03,0.54,8,51,9,8,59.5,24,14,
42,Critical,Built By Gamers,191,140.2,0.8,64,80,41,109,0.59,0.5,0.24,0.06,0.73,0,10,6,6,55.6,4,4,
43,sharky,Complexity,191,117.3,0.93,86,92,30,129,0.67,0.36,0.2,0.08,0.71,1,23,10,18,49.2,6,1,
44,Rustun,Spot Up,189,131.1,0.8,61,76,18,97,0.63,0.52,0.21,0.11,0.78,1,15,11,10,50.0,0,3,
45,Brando,XSET,189,119.6,0.81,64,79,37,110,0.58,0.46,0.18,0.05,0.72,2,17,6,7,50.0,12,2,
46,thwifo,XSET,187,125.7,0.87,74,85,22,110,0.67,0.48,0.22,0.09,0.77,2,17,10,11,46.2,7,0,
47,FNS,Envy,186,119.9,1.09,197,181,93,294,0.67,0.51,0.25,0.07,0.62,4,52,20,19,49.8,17,1,
48,DaZeD,T1,186,132.2,0.9,121,135,69,209,0.58,0.49,0.18,0.09,0.65,4,31,18,19,59.9,7,4,
49,instinct,The Slimy Boogermen,184,119.7,0.9,100,111,22,150,0.67,0.55,0.16,0.12,0.74,1,20,18,15,46.6,8,1,
50,mAKKA,Dignitas,183,130.2,0.97,115,118,60,176,0.65,0.2,0.24,0.02,0.67,5,31,3,12,53.4,14,3,
51,rob-wiz,Built By Gamers,181,117.1,0.78,68,87,20,109,0.62,0.38,0.18,0.15,0.8,0,22,16,26,44.2,1,2,
52,MkaeL,Gen.G Esports,180,122.9,0.85,93,109,63,160,0.58,0.4,0.18,0.05,0.68,4,24,8,12,46.9,20,6,
53,Will,Built By Gamers,180,115.6,0.85,66,78,23,109,0.61,0.26,0.17,0.06,0.72,2,15,6,17,48.0,2,5,
54,oderus,Dignitas,180,119.6,0.91,114,125,28,176,0.65,0.47,0.23,0.11,0.71,1,27,20,23,49.4,5,4,
55,hazed,TSM,179,122.7,0.94,93,99,28,149,0.62,0.4,0.21,0.07,0.66,1,20,10,15,48.4,11,1,
56,PLAYER1,Gen.G Esports,178,125.6,0.84,97,115,35,160,0.61,0.46,0.18,0.08,0.72,1,26,12,14,46.1,8,2,
57,Wedid,XSET,178,128.8,0.74,64,86,31,110,0.58,0.5,0.2,0.07,0.78,0,13,8,8,54.0,3,0,
58,nitr0,100 Thieves,177,122.5,0.94,206,220,85,326,0.63,0.49,0.24,0.07,0.67,4,53,24,25,52.4,41,4,
59,pho,Built By Gamers,177,111.6,0.94,73,78,23,109,0.67,0.27,0.2,0.03,0.72,0,18,3,8,48.6,19,1,
60,supamen,Dignitas,177,113.5,0.91,108,119,37,176,0.61,0.46,0.31,0.07,0.68,2,24,12,14,47.1,22,4,
61,Berghy,Renegades,174,113.9,0.91,155,170,68,253,0.61,0.59,0.26,0.06,0.67,8,34,16,11,52.0,47,8,
62,dapr,Sentinels,172,103.0,0.85,140,164,62,234,0.6,0.49,0.19,0.08,0.7,3,29,18,19,39.8,13,0,
63,gMd,Gen.G Esports,172,113.9,0.91,99,109,50,160,0.62,0.27,0.25,0.03,0.68,1,24,4,11,44.3,16,4,
64,figment,Spot Up,171,124.5,0.82,55,67,31,97,0.57,0.5,0.19,0.05,0.69,3,11,5,5,54.6,12,3,
65,randyySAVAGE,Renegades,171,108.4,0.8,148,184,45,253,0.58,0.38,0.22,0.06,0.73,3,37,16,26,41.8,8,4,
66,Ksiaze,Luminosity Gaming,170,114.0,0.82,103,125,20,172,0.6,0.49,0.22,0.13,0.73,1,20,23,24,44.6,4,5,
67,intox,The Slimy Boogermen,169,113.3,0.91,89,98,56,150,0.59,0.47,0.21,0.06,0.65,1,15,9,10,50.7,20,5,
68,Spyder,T1,168,111.6,0.9,131,145,44,209,0.63,0.47,0.28,0.08,0.69,3,31,16,18,46.4,11,5,
69,zombs,Sentinels,166,116.8,0.86,133,155,66,234,0.57,0.36,0.21,0.06,0.66,4,30,15,27,51.8,16,3,
70,Dcop,Equinox Esports,165,117.7,0.78,68,87,51,115,0.59,0.24,0.18,0.04,0.76,3,21,5,16,38.4,10,3,
71,reltuC,TSM,164,114.3,0.93,79,85,61,149,0.53,0.67,0.2,0.07,0.57,2,19,10,5,51.0,12,1,
72,vice,Cloud9 Blue,160,108.3,1.08,93,86,55,151,0.62,0.5,0.24,0.05,0.57,2,15,7,7,47.4,13,2,
73,CP2,Renegades,158,103.8,0.94,149,159,108,253,0.59,0.48,0.23,0.06,0.63,3,32,14,15,41.5,15,7,
74,stellar,Luminosity Gaming,158,107.0,0.74,90,121,48,172,0.52,0.39,0.19,0.05,0.7,1,19,9,14,49.1,21,4,
75,XP3,Complexity,158,116.9,0.84,75,89,33,129,0.58,0.6,0.17,0.07,0.69,2,17,9,6,44.3,11,1,
76,Bunny,Spot Up,154,90.7,0.74,54,73,33,97,0.56,0.31,0.3,0.05,0.75,0,14,5,11,36.0,6,1,
77,DXN,Equinox Esports,150,109.9,0.71,60,85,49,115,0.52,0.57,0.17,0.03,0.74,2,14,4,3,41.8,30,1,
78,cute fat boy,Equinox Esports,149,99.7,0.65,62,96,21,115,0.54,0.44,0.21,0.1,0.83,0,14,12,15,33.6,2,2,
79,shinobi,Cloud9 Blue,142,90.3,0.66,75,114,31,151,0.5,0.39,0.28,0.05,0.75,1,15,7,11,34.7,25,3,
0,TenZ,Cloud9 Blue,270,160.0,1.33,195,147,45,202,0.97,0.61,0.17,0.19,0.73,2,56,39,25,63.2,4,2,True
1,thief,Luminosity Gaming,250,149.4,1.25,120,96,23,136,0.88,0.53,0.26,0.13,0.71,2,36,18,16,58.0,9,4,True
2,XXiF,Pittsburgh Knights,241,151.8,1.0,65,65,14,81,0.8,0.68,0.24,0.19,0.8,0,18,15,7,62.8,0,0,True
3,Shawn,Gen.G Esports,240,148.0,1.23,119,97,51,146,0.82,0.58,0.24,0.14,0.66,4,32,21,15,56.0,2,3,True
4,gMd,Gen.G Esports,238,153.1,1.39,125,90,46,146,0.86,0.42,0.29,0.08,0.62,3,33,11,15,67.4,8,3,True
5,scourge,ex-Serenity,237,149.3,1.05,126,120,38,158,0.8,0.47,0.24,0.15,0.76,4,34,24,27,57.0,2,6,True
6,yay,Andbox,237,142.0,1.22,82,67,18,96,0.85,0.45,0.22,0.1,0.7,3,22,10,12,53.0,5,3,True
7,drone,TSM,237,146.9,1.24,241,195,59,288,0.84,0.51,0.29,0.12,0.68,8,67,35,33,60.2,15,17,True
8,Wardell,TSM,235,153.0,1.46,256,175,32,288,0.89,0.79,0.21,0.15,0.61,5,62,42,11,67.7,19,7,True
9,Corey,FaZe Clan,235,165.0,1.11,249,225,68,315,0.79,0.57,0.26,0.16,0.71,6,65,49,37,63.1,14,9,True
10,jcStani,Immortals,233,136.6,1.26,226,180,81,271,0.83,0.57,0.25,0.1,0.66,9,60,27,20,60.0,47,5,True
11,Shanks,Immortals,232,139.5,1.09,150,138,53,192,0.78,0.51,0.2,0.17,0.72,0,35,32,31,55.8,9,0,True
12,ANDROID,Andbox,231,150.3,1.18,85,72,17,96,0.89,0.67,0.28,0.15,0.75,1,21,14,7,51.3,3,3,True
13,roca,Spacestation Gaming,231,150.8,1.04,127,122,36,165,0.77,0.63,0.36,0.19,0.74,1,28,31,18,60.9,0,4,True
14,JonahP,Complexity,228,142.0,1.22,89,73,38,114,0.78,0.69,0.23,0.1,0.64,3,24,11,5,61.8,16,6,True
15,sSef,Spacestation Gaming,228,153.4,1.09,128,117,41,165,0.78,0.41,0.19,0.07,0.71,3,37,12,17,59.3,8,5,True
16,huynh,Gen.G Esports,227,131.3,1.29,119,92,28,146,0.82,0.51,0.22,0.16,0.63,1,36,24,23,60.4,3,2,True
17,Boostio,Spacestation Gaming,225,140.2,1.0,130,130,34,165,0.79,0.58,0.28,0.14,0.79,4,39,23,17,52.7,3,4,True
18,Genghsta,Immortals,224,146.4,1.16,197,170,113,271,0.73,0.65,0.25,0.08,0.63,6,51,22,12,65.0,31,11,True
19,babybay,FaZe Clan,223,135.5,1.03,234,227,62,315,0.74,0.64,0.13,0.2,0.72,3,56,63,36,58.0,6,3,True
20,Marved,FaZe Clan,222,140.8,1.08,250,231,57,315,0.79,0.5,0.34,0.1,0.73,5,68,32,32,57.9,17,4,True
21,PLAYER1,Gen.G Esports,222,141.6,1.25,111,89,49,146,0.76,0.43,0.18,0.06,0.61,1,29,9,12,56.7,18,2,True
22,ShoT UP,Immortals,221,140.8,1.04,57,55,26,79,0.72,0.57,0.26,0.16,0.7,0,10,13,10,60.5,1,1,True
23,Pr0phie,Moon Raccoons,220,143.8,0.97,117,121,53,162,0.72,0.56,0.22,0.11,0.75,4,29,18,14,55.9,19,5,True
24,Skadoodle,T1,217,132.3,1.09,178,163,41,234,0.76,0.45,0.2,0.14,0.7,1,40,32,39,59.1,14,0,True
25,Spyder,T1,217,137.1,1.01,173,172,63,234,0.74,0.46,0.24,0.12,0.74,2,46,29,34,54.0,11,7,True
26,aproto,Luminosity Gaming,216,140.5,1.08,107,99,33,136,0.79,0.57,0.42,0.09,0.73,2,27,12,9,48.7,8,4,True
27,Temperature,Moon Raccoons,215,142.5,1.0,119,119,55,162,0.73,0.46,0.25,0.07,0.73,1,34,12,14,58.3,18,2,True
28,agm,Complexity,214,142.1,1.13,89,79,19,114,0.78,0.47,0.19,0.08,0.69,2,20,9,10,60.8,3,2,True
29,Brax,T1,214,135.8,1.25,181,145,61,234,0.77,0.54,0.29,0.09,0.62,9,48,21,18,56.1,7,7,True
30,Paincakes,Equinox Esports,214,141.0,1.06,72,68,16,93,0.77,0.43,0.22,0.1,0.73,3,19,9,12,53.5,3,0,True
31,psalm,Dignitas,213,135.2,1.0,129,129,61,185,0.7,0.53,0.28,0.1,0.7,1,33,19,17,56.3,5,2,True
32,FIEND,Moon Raccoons,213,129.4,0.94,116,124,25,162,0.72,0.57,0.17,0.19,0.77,2,28,31,23,58.4,5,4,True
