,PLAYER,TEAM,ACS,ADR,K/D,K,D,A,RP,KPR,ESR,HS%,FBPR,DPR,1vX,MK,FB,FD,ECON,PL,DE,UMG_Event
33,hazed,TSM,212,130.6,1.16,221,190,58,288,0.77,0.48,0.26,0.09,0.66,4,52,26,28,56.5,15,4,True
34,mAKKA,Dignitas,212,132.1,1.1,134,122,73,185,0.72,0.58,0.23,0.06,0.66,4,31,11,8,52.8,13,6,True
35,Relyks,Cloud9 Blue,211,140.5,0.93,140,150,49,202,0.69,0.42,0.18,0.08,0.74,2,34,16,22,54.1,5,3,True
36,Subroza,TSM,210,137.3,0.98,201,206,59,288,0.7,0.45,0.22,0.13,0.72,4,51,37,46,52.8,7,4,True
37,dephh,Dignitas,210,143.8,1.06,134,127,32,185,0.72,0.67,0.21,0.17,0.69,1,31,31,15,55.3,10,5,True
38,eeiu,NRG Esports,210,143.0,0.98,105,107,50,150,0.7,0.65,0.26,0.07,0.71,1,25,11,6,55.7,3,4,True
39,KOLER,NRG Esports,209,132.3,0.85,106,124,23,150,0.71,0.48,0.32,0.17,0.83,1,29,25,27,49.9,2,1,True
40,ohai,Complexity,206,134.7,1.04,83,80,19,114,0.73,0.5,0.17,0.14,0.7,3,20,16,16,56.8,7,0,True
41,Ksiaze,Luminosity Gaming,203,132.3,1.05,99,94,17,136,0.73,0.49,0.29,0.15,0.69,1,26,20,21,51.5,0,4,True
42,DXN,Equinox Esports,201,119.8,0.91,63,69,22,93,0.68,0.88,0.21,0.08,0.74,2,16,7,1,53.5,8,1,True
43,s0m,NRG Esports,200,127.6,0.92,97,106,31,150,0.65,0.41,0.25,0.12,0.71,0,24,18,26,52.0,11,3,True
44,oderus,Dignitas,199,125.9,0.91,128,141,38,185,0.69,0.42,0.18,0.14,0.76,2,36,25,34,46.8,8,0,True
45,Turnup,ex-Serenity,196,123.5,0.89,100,113,60,158,0.63,0.69,0.24,0.06,0.72,3,24,9,4,50.4,17,9,True
46,sharky,Complexity,195,128.5,0.84,72,86,29,114,0.63,0.39,0.19,0.11,0.75,0,17,12,19,52.6,3,1,True
47,neptune,Immortals,195,116.3,0.98,186,190,70,271,0.69,0.53,0.3,0.09,0.7,2,47,24,21,41.4,1,2,True
48,ALEKSANDAR,Moon Raccoons,195,121.5,1.03,114,111,52,162,0.7,0.61,0.39,0.07,0.69,4,27,11,7,48.0,8,3,True
49,jmoh,Immortals,193,112.4,1.02,181,178,40,271,0.67,0.47,0.16,0.1,0.66,5,41,28,31,52.4,9,4,True
50,mina,Equinox Esports,191,123.8,0.84,58,69,17,93,0.62,0.39,0.27,0.13,0.74,0,16,12,19,49.0,2,3,True
51,daps,NRG Esports,191,139.7,0.99,104,105,29,150,0.69,0.33,0.23,0.06,0.7,2,28,9,18,52.7,4,1,True
52,dsr,Pittsburgh Knights,191,130.5,0.82,51,62,23,81,0.63,0.35,0.33,0.07,0.77,0,11,6,11,52.5,8,1,True
53,Showtime,ex-Serenity,189,110.6,0.93,109,117,19,158,0.69,0.45,0.17,0.14,0.74,2,23,22,27,42.7,2,1,True
54,insky,Spacestation Gaming,188,117.0,0.91,107,117,24,165,0.65,0.57,0.34,0.1,0.71,3,29,17,13,49.6,14,2,True
55,mitch,Cloud9 Blue,188,118.6,0.91,124,137,54,202,0.61,0.52,0.17,0.13,0.68,5,27,27,25,47.1,17,3,True
56,DaZeD,T1,187,137.3,0.97,147,152,80,234,0.63,0.33,0.22,0.03,0.65,10,33,8,16,55.1,13,3,True
57,AZK,T1,186,119.5,0.95,155,164,65,234,0.66,0.41,0.22,0.06,0.7,3,31,15,22,45.1,27,1,True
58,XP3,Complexity,186,129.9,0.86,72,84,26,114,0.63,0.5,0.15,0.07,0.74,1,11,8,8,52.6,15,1,True
59,seb,Andbox,185,101.0,0.81,56,69,19,96,0.58,0.41,0.28,0.07,0.72,2,16,7,10,39.5,4,0,True
60,MkaeL,Gen.G Esports,184,124.5,1.0,88,88,53,146,0.6,0.5,0.2,0.05,0.6,3,22,8,8,52.0,18,9,True
61,vice,Cloud9 Blue,181,129.0,1.04,131,126,62,202,0.65,0.41,0.2,0.04,0.62,5,32,9,13,52.0,13,6,True
62,Rawkus,FaZe Clan,181,117.7,0.98,193,196,103,315,0.61,0.59,0.25,0.05,0.62,8,44,16,11,54.3,47,6,True
63,stellar,Luminosity Gaming,175,112.5,0.94,85,90,32,136,0.63,0.3,0.19,0.04,0.66,1,20,6,14,46.5,19,1,True
64,ZachaREEE,FaZe Clan,173,113.0,0.86,187,217,74,315,0.59,0.58,0.22,0.07,0.69,2,33,22,16,44.7,21,5,True
65,effys,NRG Esports,173,127.8,0.89,90,101,40,150,0.6,0.6,0.16,0.04,0.67,6,23,6,4,55.7,24,7,True
66,supamen,Dignitas,171,104.7,0.98,117,119,52,185,0.63,0.52,0.28,0.07,0.64,2,26,13,12,44.8,29,2,True
67,Dcop,Equinox Esports,171,102.3,0.74,50,68,41,93,0.54,0.35,0.16,0.06,0.73,1,12,6,11,42.3,10,1,True
68,Eazy,ex-Serenity,169,115.2,0.72,86,120,41,158,0.54,0.44,0.16,0.05,0.76,2,17,8,10,46.0,25,2,True
69,cute fat boy,Equinox Esports,169,105.6,0.69,51,74,28,93,0.55,0.19,0.23,0.03,0.8,0,10,3,13,39.0,1,0,True
70,b0i,Andbox,169,115.1,0.77,54,70,15,96,0.56,0.5,0.27,0.05,0.73,1,15,5,5,49.3,8,1,True
71,dawn,Pittsburgh Knights,167,115.4,0.88,52,59,11,81,0.64,0.0,0.31,0.0,0.73,2,12,0,7,47.3,2,0,True
72,mada,Luminosity Gaming,166,109.4,0.84,78,93,42,136,0.57,0.65,0.32,0.1,0.68,1,21,13,7,44.5,6,3,True
73,reltuC,TSM,164,107.4,0.88,157,178,109,288,0.55,0.29,0.18,0.03,0.62,6,37,9,22,47.6,34,8,True
74,shinobi,Cloud9 Blue,155,101.9,0.72,109,151,47,202,0.54,0.35,0.2,0.04,0.75,4,20,9,17,41.7,31,3,True
75,Rebo,Moon Raccoons,155,99.3,0.71,89,125,36,162,0.55,0.31,0.17,0.06,0.77,0,18,10,22,37.6,4,0,True
76,Joseph,ex-Serenity,148,87.4,0.68,82,120,37,158,0.52,0.3,0.2,0.05,0.76,1,22,8,19,33.3,3,2,True
77,frostyZK,Pittsburgh Knights,121,76.6,0.49,33,67,8,81,0.41,0.17,0.19,0.05,0.83,0,7,4,20,32.5,0,1,True
78,kaplan,Spacestation Gaming,121,79.8,0.62,69,111,48,165,0.42,0.47,0.17,0.05,0.67,5,14,8,9,32.4,24,4,True
79,wardino,Andbox,112,74.3,0.44,36,82,19,96,0.38,0.15,0.22,0.04,0.85,2,9,4,22,25.3,10,1,True
80,ronaldo,Pittsburgh Knights,112,72.8,0.47,29,62,22,81,0.36,0.36,0.25,0.05,0.77,0,5,4,7,29.8,7,3,True
