PLAYER,ACS,ADR,K/D,K,D,A,RP,KPR,ESR,HS%,FBPR,DPR,1vX,MK,FB,FD,ECON,PL,DE
&&&&DXN&&&&Equinox Esports&&&,201,119.8,0.91,63,69,22,93,0.68,88%,21%,0.08,0.74,2,16,7,1,53.5,8,1
&&&&s0m&&&&&NRG Esports&&&,200,127.6,0.92,97,106,31,150,0.65,41%,25%,0.12,0.71,0,24,18,26,52,11,3
&&&&oderus&&&&Dignitas&&&,199,125.9,0.91,128,141,38,185,0.69,42%,18%,0.14,0.76,2,36,25,34,46.8,8,0
&&&&Turnup&&&&ex-Serenity&&&,196,123.5,0.89,100,113,60,158,0.63,69%,24%,0.06,0.72,3,24,9,4,50.4,17,9
&&&&sharky&&&&Complexity&&&,195,128.5,0.84,72,86,29,114,0.63,39%,19%,0.11,0.75,0,17,12,19,52.6,3,1
&&&&neptune&&&&Immortals&&&,195,116.3,0.98,186,190,70,271,0.69,53%,30%,0.09,0.7,2,47,24,21,41.4,1,2
&&&&ALEKSANDAR&&&&Moon Raccoons&&&,195,121.5,1.03,114,111,52,162,0.7,61%,39%,0.07,0.69,4,27,11,7,48,8,3
&&&&jmoh&&&&Immortals&&&,193,112.4,1.02,181,178,40,271,0.67,47%,16%,0.1,0.66,5,41,28,31,52.4,9,4
&&&&mina&&&&Equinox Esports&&&,191,123.8,0.84,58,69,17,93,0.62,39%,27%,0.13,0.74,0,16,12,19,49,2,3
&&&&daps&&&&&NRG Esports&&&,191,139.7,0.99,104,105,29,150,0.69,33%,23%,0.06,0.7,2,28,9,18,52.7,4,1
&&&&dsr&&&&Pittsburgh Knights&&&,191,130.5,0.82,51,62,23,81,0.63,35%,33%,0.07,0.77,0,11,6,11,52.5,8,1
&&&&Showtime&&&&ex-Serenity&&&,189,110.6,0.93,109,117,19,158,0.69,45%,17%,0.14,0.74,2,23,22,27,42.7,2,1
&&&&insky&&&&Spacestation Gaming&&&,188,117,0.91,107,117,24,165,0.65,57%,34%,0.1,0.71,3,29,17,13,49.6,14,2
&&&&mitch&&&&Cloud9 Blue&&&,188,118.6,0.91,124,137,54,202,0.61,52%,17%,0.13,0.68,5,27,27,25,47.1,17,3
&&&&DaZeD&&&&T1&&&,187,137.3,0.97,147,152,80,234,0.63,33%,22%,0.03,0.65,10,33,8,16,55.1,13,3
&&&&AZK&&&&T1&&&,186,119.5,0.95,155,164,65,234,0.66,41%,22%,0.06,0.7,3,31,15,22,45.1,27,1
&&&&XP3&&&&Complexity&&&,186,129.9,0.86,72,84,26,114,0.63,50%,15%,0.07,0.74,1,11,8,8,52.6,15,1
&&&&seb&&&&&Andbox&&&,185,101,0.81,56,69,19,96,0.58,41%,28%,0.07,0.72,2,16,7,10,39.5,4,0
&&&&MkaeL&&&&&Gen.G Esports&&&,184,124.5,1,88,88,53,146,0.6,50%,20%,0.05,0.6,3,22,8,8,52,18,9
